"title","barcode"
"BOSTON LEGAL 2.4","00211682"
"BOSTON LEGAL 2.5","00211684"
"BOSTON LEGAL 2.6","00211683"
"BOSTON LEGAL 2.7","00211685"
"BOSTON LEGAL 3.1","00217377"
"BOSTON LEGAL 3.2","00217378"
"BOSTON LEGAL 3.3","00217379"
"BOSTON LEGAL 3.4","00217381"
"BOSTON LEGAL 3.5","00217382"
"BOSTON LEGAL 3.6","00217441"
"BOSTON LEGAL 4.1","00223152"
"BOSTON LEGAL 4.2","00223153"
"BOSTON LEGAL 4.3","00223154"
"BOSTON LEGAL 4.4","00223155"
"BOSTON LEGAL 4.5","00223156"
"BOSTON LEGAL 5.1","00227981"
"BOSTON LEGAL 5.2","00227982"
"BOSTON LEGAL 5.3","00228097"
"BREAKING BAD 1.1","00235535"
"BREAKING BAD 1.1","00240722"
"BREAKING BAD 1.2","00240040"
"BREAKING BAD 1.2","00240723"
"BREAKING BAD 2.1","00235536"
"BREAKING BAD 2.1","00240724"
"BREAKING BAD 2.2","00234693"
"BREAKING BAD 2.2","00240725"
"BREAKING BAD 2.3","00235538"
"BREAKING BAD 2.3","00240726"
"BREAKING BAD 2.4","00234696"
"BREAKING BAD 2.4","00240727"
"BREAKING BAD 3.1","00240018"
"BREAKING BAD 3.1","00240103"
"BREAKING BAD 3.2","00240105"
"BREAKING BAD 3.2","00240106"
"BREAKING BAD 3.3","00240025"
"BREAKING BAD 3.3","00240730"
"BREAKING BAD 3.4","00240028"
"BREAKING BAD 3.4","00240110"
"BREAKING BAD 4.1","00243401"
"BREAKING BAD 4.1","00243490"
"BREAKING BAD 4.2","00243459"
"BREAKING BAD 4.2","00243460"
"BREAKING BAD 4.3","00243463"
"BREAKING BAD 4.3","00243464"
"BREAKING BAD 4.4","00243407"
"BREAKING BAD 4.4","00243543"
"BREAKING BAD 5.1","00245957"
"BREAKING BAD 5.1","00246037"
"BREAKING BAD 5.2","00246039"
"BREAKING BAD 5.2","00246040"
"BREAKING BAD 5.3","00245967"
"BREAKING BAD 5.3","00246042"
"BREAKING BAD 6.1","00246919"
"BREAKING BAD 6.1","00246922"
"BREAKING BAD 6.2","00246925"
"BREAKING BAD 6.2","00246926"
"BREAKING BAD 6.3","00246930"
"BREAKING BAD 6.3","00246976"
"BRIDESHEAD REVISITED 1","00210845"
"BRIDESHEAD REVISITED 2","00210846"
"BRIDESHEAD REVISITED 3","00210847"
"BRIDESHEAD REVISITED 4","00210848"
"BRIDGE 1.1","00247784"
"BRIDGE 1.2","00247785"
"BRIDGE 1.3","00247786"
"BRIDGE 1.4","00247787"
"BROAD CITY 1.1","00249245"
"BROAD CITY 1.2","00249246"
"BROAD CITY 2.1","00250692"
